50000,286,329,27245
100000,468,558,63529
150000,558,696,119267
200000,803,986,185480
250000,816,1044,264143
300000,926,1207,382015
350000,1117,1443,510887
400000,1298,1673,700093
450000,1476,1901,822862
500000,1513,1982,1053090
550000,1703,2227,1679551
600000,1848,2423,2132964
650000,1960,2588,2021438
700000,2250,2923,2362200
750000,2261,2988,2864758
800000,2429,3211,3068391
850000,2545,3373,3460434
900000,2689,3568,3565833
950000,2859,3791,4024861
1000000,2985,3962,4512286
